,ID,shoe_height,EC_Code,use_RF,Date,Day,Time,scores_differ_but_one,score_differs,Temp_True,SOQ1,SOQ2,SOQ3,SOQ4,SOQ5,SOQ6,SOQ7,SOQ8,Shoe_comfort,Intoxicated,Drinks,Weather,Temp_Think,Cold,Age,Race,Sex_Orient,Heightfeet,Heightinches,Weight,Openshoes,Barelegs,Arms,Shoulders,Cleavage,Openback,Midriff,No_jacket,Jean_rips,Judged_shoe_comfort,Clothes_RF,HG_shoes,SOQ1_R,SOQ2_R,SOQ3_R,SOQ4_R,SOQ7_R,SOQ8_R,Self_Obj,height.just.inches,BMI,filter_$,use_RF_coded,test_1,combined_filter,full_SO,Zshoe_height,white
20,168,1,1,1,1052832:00:00,1,11:31:00.000000,1,1,50,5,2,2,4,2,4,1,4,6,1,0,1,54,1,21,5,1,5,2,155,1,1,1,1,1,1,1,1,0,2,8,3,2,5,5,3,6,3,3.75,62,28.3467741935484,1,NA,NA,1,3.75,-0.632686650452512,0
21,171,1,1,1,1052832:00:00,1,10:59:00.000000,1,1,50,3,5,3,2,2,2,2,5,6,1,1,1,76,3,27,5,1,4,11,134,0,1,0,0,0,0,0,0,0,3,1,3,4,2,4,5,5,2,3.25,59,27.0617638609595,1,NA,NA,1,3.25,-0.632686650452512,0
22,172,1,1,1,1052832:00:00,1,10:28:00.000000,1,1,52,4,6,6,6,1,1,6,4,6,2,3,1,NA,4,24,2,3,5,8,NA,1,0,0,0,0,0,0,1,0,2,2,3,3,1,1,1,1,3,1.5,68,NA,NA,NA,NA,1,1.5,NA,0
23,173,1,1,1,1052832:00:00,1,10:22:00.000000,1,1,52,3,3,5,3,1,5,1,5,5,6,5,1,68,4,18,2,2,5,7,199,1,0,1,1,0,0,0,1,1,2,5,3,4,4,2,4,6,2,3.5,67,31.1644018712408,1,NA,NA,1,3.5,-0.632686650452512,0
24,174,1,0,1,1052832:00:00,1,10:08:00.000000,1,1,52,1,1,2,3,1,6,1,1,1,3,1,2,NA,6,20,2,1,5,1,92,1,0,0,0,1,0,1,1,0,2,4,3,6,6,5,4,6,6,5,61,17.3813490997044,1,NA,NA,1,5,-0.632686650452512,0
25,206,1,1,1,1052832:00:00,1,11:00:00.000000,1,1,50,2,4,2,2,2,5,2,4,5,1,0,1,50,4,28,4,1,5,3,180,1,1,1,0,0,0,0,1,0,3,4,3,5,3,5,5,5,3,4.125,63,31.8820861678005,1,NA,NA,1,4.125,-0.632686650452512,0
26,207,1,1,1,1052832:00:00,1,10:59:00.000000,1,1,50,2,4,2,3,1,6,3,1,6,1,0,1,54,6,29,1,1,5,8,210,0,1,1,1,0,0,0,0,0,3,3,3,5,3,5,4,4,6,4.25,68,31.9269031141869,1,NA,NA,1,4.25,-0.632686650452512,1
27,209,1,1,1,1052832:00:00,1,10:27:00.000000,1,1,52,6,6,6,2,1,1,5,6,6,1,6,2,58,4,21,1,1,5,6,190,0,0,1,1,1,0,0,1,0,3,4,3,1,1,1,5,2,1,1.625,66,30.6634527089073,1,NA,NA,1,1.625,-0.632686650452512,1
28,210,1,0,0,1052832:00:00,1,NA,1,1,52,4,3,3,3,3,3,3,3,3,5,3,1,54,3,21,7,2,5,11,NA,1,0,0,0,1,0,0,0,0,2,2,3,3,4,4,4,4,4,3.625,71,NA,NA,1,1,NA,3.625,NA,0
29,211,1,1,1,1052832:00:00,1,10:16:00.000000,1,1,52,1,NA,6,4,6,6,1,1,6,1,0,1,NA,3,21,1,2,5,3,110,0,0,0,0,2,0,1,1,0,3,4,3,6,NA,1,3,6,6,4.85714285714286,63,19.4834971025447,1,NA,NA,1,NA,-0.632686650452512,1
