Word,Number of morphemes,Number of Letters,Number of Syllables,Number of Phonemes,Orthographic N,OLD20,PN_Std,PLD20_Std,PN_Singapore,PLD20_Singapore,PN_NonStd,PLD_NonStd,freq_singapore/million,lg_freq_singapore,freq_malaysia/million,lg_freq_malaysia,LDT_RT,LDT_ACC,NMG_RT,NMG_ACC
aba,1,3,2,3,6,1.4000,7,1.3500,7,1.3500,3,1.6000,0.20,0.08,1.87,0.46,,,,
abad,1,4,2,4,4,1.6000,9,1.3500,9,1.3500,9,1.3500,69.80,1.85,15.89,1.23,,,,
abadi,1,5,3,5,0,1.8000,0,1.8500,0,1.8500,0,1.8500,20.60,1.33,21.96,1.36,,,,
abah,1,4,2,4,8,1.4000,8,1.4000,8,1.4000,8,1.4000,18.40,1.29,2.80,0.58,,,,
abai,1,4,2,3,7,1.5000,6,1.6500,6,1.6500,6,1.6500,1.20,0.34,3.74,0.68,693.9024,0.9318,484.1220,0.9318
abang,1,5,2,4,4,1.6500,6,1.5000,6,1.5000,6,1.5000,174.60,2.24,39.72,1.61,524.8605,0.9773,456.9773,1.0000
abdi,1,4,2,4,1,1.9000,0,1.9500,0,1.9500,0,1.9500,2.40,0.53,2.34,0.52,,,,
abjad,1,5,2,5,0,2.3500,0,1.9500,0,1.9500,0,1.9500,4.40,0.73,1.40,0.38,,,,
abon,1,4,2,4,0,2.0000,0,2.0000,3,1.8000,3,1.8000,0.60,0.20,4.67,0.75,,,,
abu,1,3,2,3,7,1.4500,8,1.4000,8,1.4000,8,1.4000,238.80,2.38,215.42,2.34,,,,
acah,1,4,2,4,8,1.6000,8,1.6000,8,1.6000,8,1.6000,0.00,0.00,0.47,0.17,,,,
acap,1,4,2,4,5,1.7000,6,1.6500,6,1.6500,6,1.6500,2.00,0.48,1.40,0.38,755.9565,0.5227,483.7907,0.9773
acapkali,2,8,4,8,0,3.9500,0,4.2000,0,4.2000,0,4.2500,1.20,0.34,0.93,0.29,,,,
acar,1,4,2,4,7,1.5500,7,1.6000,7,1.6000,7,1.6000,6.20,0.86,0.47,0.17,,,,
acara,1,5,3,5,0,1.9000,0,1.9500,0,1.9500,0,1.9500,714.60,2.85,"1,148.13",3.06,551.3256,0.9773,448.7500,1.0000
aci,1,3,2,3,4,1.8000,4,1.8000,4,1.8000,4,1.8000,0.20,0.08,2.34,0.52,736.2381,0.4773,457.1395,0.9773
acuan,1,5,3,6,2,1.8500,2,1.8500,2,1.8500,2,1.8500,11.40,1.09,5.61,0.82,,,,
acuh,1,4,2,4,3,1.8500,4,1.8000,2,1.9000,3,1.8500,10.00,1.04,4.67,0.75,,,,
acung,1,5,2,4,2,1.9000,3,1.8500,1,1.9500,0,2.0000,0.00,0.00,0.47,0.17,,,,
ada,1,3,2,3,6,1.2000,7,1.2000,7,1.2000,4,1.5500,"3,371.80",3.53,"2,427.57",3.39,,,,
adab,1,4,2,4,4,1.7500,3,1.8000,3,1.8000,3,1.8500,30.00,1.49,7.94,0.95,,,,
adai,1,4,2,3,7,1.4500,5,1.6000,5,1.6000,5,1.6000,0.00,0.00,0.93,0.29,,,,
adakalanya,2,10,5,10,0,4.9500,0,5.4500,0,5.4500,0,5.7500,7.40,0.92,7.48,0.93,,,,
adan,1,4,2,4,7,1.4500,7,1.5000,7,1.5000,7,1.5500,1.20,0.34,23.36,1.39,,,,
adat,1,4,2,4,6,1.5500,8,1.4500,8,1.4500,8,1.5000,69.40,1.85,16.82,1.25,,,,
adegan,1,6,3,6,0,2.5000,0,2.7000,0,2.6500,0,2.6500,47.80,1.69,30.84,1.50,,,,
adik,1,4,2,4,3,1.8500,4,1.8000,4,1.7500,4,1.7500,123.60,2.10,66.82,1.83,,,,
adil,1,4,2,4,3,1.8000,3,1.8000,2,1.9000,2,1.9000,102.60,2.02,65.42,1.82,,,,
adinda,1,6,3,6,0,2.7500,0,2.8000,0,2.8000,0,2.9500,0.80,0.26,1.40,0.38,,,,
aduan,2,5,3,6,2,1.7500,2,1.8500,2,1.8500,2,1.8500,67.80,1.84,16.36,1.24,,,,
aduh,1,4,2,4,4,1.7500,4,1.7500,3,1.8000,4,1.7500,8.20,0.96,3.27,0.63,589.0833,0.8182,476.7273,1.0000
aduk,1,4,2,4,4,1.7000,4,1.7000,4,1.6500,4,1.6500,2.00,0.48,0.93,0.29,,,,
adun,1,4,2,4,6,1.6500,6,1.7000,6,1.7000,6,1.7000,28.00,1.46,4.67,0.75,,,,
agak,1,4,2,4,6,1.6500,6,1.6500,6,1.6500,6,1.6500,467.60,2.67,473.83,2.68,,,,
agakan,2,6,3,6,2,1.9000,2,1.9000,2,1.9000,2,1.9000,0.00,0.00,0.93,0.29,,,,
agal,1,4,2,4,8,1.5000,8,1.5000,8,1.5000,8,1.5000,0.00,0.00,2.34,0.52,,,,
agama,1,5,3,5,0,2.0000,0,2.0000,0,2.0000,0,2.3500,876.00,2.94,98.13,2.00,,,,
agar,1,4,2,4,7,1.5500,7,1.5000,7,1.5000,7,1.5000,"1,163.40",3.07,108.41,2.04,,,,
agih,1,4,2,4,1,1.9000,1,1.9000,2,1.8500,2,1.8500,2.40,0.53,1.87,0.46,686.5294,0.7727,478.6190,0.9545
agihan,2,6,3,6,0,2.5500,0,2.5500,0,2.7000,0,2.7000,17.80,1.27,8.88,0.99,,,,
agong,1,5,2,4,1,1.9000,1,1.9000,1,1.7500,1,1.7500,8.60,0.98,15.42,1.22,,,,
agung,1,5,2,4,3,1.8000,4,1.7500,1,1.7500,1,1.7500,145.60,2.17,161.68,2.21,,,,
agus,1,4,2,4,1,1.8500,2,1.8000,0,1.9500,0,1.9500,1.80,0.45,5.14,0.79,,,,
ahli,1,4,2,4,1,1.9500,1,1.9500,1,1.9500,1,1.9500,225.80,2.36,415.89,2.62,,,,
aib,1,3,1,2,2,1.8500,2,1.9000,2,1.9000,2,1.9000,6.40,0.87,26.17,1.43,,,,
ain,1,3,1,2,4,1.6000,2,1.9000,2,1.9000,2,1.9000,59.20,1.78,20.56,1.33,,,,
air,1,3,1,2,3,1.7500,3,1.8000,3,1.8000,3,1.8000,0.00,0.00,430.37,2.63,,,,
ajaib,1,5,3,5,0,2.2500,0,2.6500,0,2.7000,0,2.7000,10.20,1.05,22.90,1.38,,,,
ajak,1,4,2,4,6,1.6000,6,1.6000,6,1.6000,6,1.6000,17.60,1.27,5.14,0.79,567.5581,0.9773,473.0909,1.0000
ajakan,2,6,3,6,4,1.7500,4,1.7500,4,1.7500,4,1.7500,1.00,0.30,0.47,0.17,,,,
ajal,1,4,2,4,8,1.5500,8,1.5500,8,1.5500,8,1.5500,10.80,1.07,1.40,0.38,,,,
ajar,1,4,2,4,8,1.5000,8,1.5000,8,1.5000,8,1.5000,0.00,0.00,30.84,1.50,,,,
ajaran,2,6,3,6,2,1.8500,2,1.8500,2,1.8500,2,1.8500,88.40,1.95,3.74,0.68,,,,
ajeng,1,5,2,4,0,2.1000,0,2.0000,0,2.0000,0,2.0000,0.60,0.20,0.47,0.17,,,,
aji,1,3,2,3,6,1.4500,6,1.4500,6,1.4500,6,1.4500,3.20,0.62,0.93,0.29,,,,
aju,1,3,2,3,6,1.5000,6,1.5000,6,1.5000,6,1.5000,0.20,0.08,2.80,0.58,699.0313,0.7273,446.2558,0.9773
ajukan,2,6,3,6,1,1.9500,1,1.9500,1,2.1500,1,2.1500,4.80,0.76,0.93,0.29,,,,
akad,1,4,2,4,5,1.7500,10,1.2500,10,1.2500,10,1.2500,6.40,0.87,4.67,0.75,,,,
akal,1,4,2,4,10,1.3500,10,1.3500,10,1.3500,10,1.3500,56.00,1.76,24.77,1.41,,,,
akan,1,4,2,4,7,1.4000,8,1.4000,8,1.4000,8,1.4000,"7,741.40",3.89,"5,292.52",3.72,,,,
akar,1,4,2,4,9,1.1000,9,1.1000,9,1.1000,9,1.1000,158.00,2.20,18.69,1.29,,,,
akarat,1,6,3,6,0,1.9500,0,1.9500,0,1.9500,0,1.9500,0.00,0.00,1.40,0.38,,,,
akbar,1,5,2,5,0,1.9000,1,1.9000,1,1.9000,1,1.9000,12.40,1.13,14.02,1.18,,,,
akhbar,1,6,2,5,0,2.5500,1,1.9500,1,1.9500,1,1.9500,481.80,2.68,239.72,2.38,,,,
akhir,1,5,2,4,0,2.0500,0,2.0000,0,2.0000,0,2.2000,610.60,2.79,"1,571.96",3.20,,,,
akhirat,1,7,3,6,0,2.8000,0,2.8500,0,2.9500,0,3.7000,43.80,1.65,8.41,0.97,,,,
akhlak,1,6,2,5,0,2.7500,0,2.0000,0,2.0000,0,2.0000,45.40,1.67,5.61,0.82,,,,
akibat,1,6,3,6,0,2.4500,0,2.4000,0,2.4500,0,2.4500,295.20,2.47,130.84,2.12,,,,
akidah,1,6,3,6,0,2.6500,0,2.6500,0,2.7000,0,2.7000,19.80,1.32,1.40,0.38,,,,
akil,1,4,2,4,3,1.8000,3,1.8000,2,1.8500,2,1.8500,0.20,0.08,5.14,0.79,,,,
akmal,1,5,2,5,0,1.8500,0,1.8500,0,1.8500,0,1.8500,1.60,0.41,168.69,2.23,,,,
akrab,1,5,2,5,0,2.0000,0,2.1000,0,2.1000,0,2.1500,36.20,1.57,9.81,1.03,,,,
aksi,1,4,2,4,0,1.8500,0,1.8500,0,1.8500,0,1.8500,66.40,1.83,468.22,2.67,575.5366,0.9318,461.0465,0.9773
aku,1,3,2,3,5,1.4000,5,1.4000,5,1.4500,5,1.4500,"1,003.20",3.00,79.91,1.91,,,,
akuan,2,5,3,6,2,1.8500,2,1.9000,2,1.9000,2,1.9000,1.00,0.30,1.87,0.46,,,,
akur,1,4,2,4,3,1.7500,3,1.8000,4,1.8000,4,1.8000,132.00,2.12,70.09,1.85,,,,
ala,1,3,2,3,7,1.0000,7,1.0500,7,1.0500,2,1.6500,92.80,1.97,29.44,1.48,,,,
alah,1,4,2,4,10,1.2500,11,1.2000,11,1.2000,11,1.2000,15.60,1.22,1.87,0.46,,,,
alahan,2,6,3,6,4,1.7500,4,1.7500,4,1.7500,4,1.7500,19.20,1.31,0.47,0.17,,,,
alam,1,4,2,4,10,1.1500,11,1.1500,11,1.1500,11,1.1500,338.60,2.53,223.36,2.35,,,,
alamat,1,6,3,6,0,2.0000,0,2.0000,0,2.0000,0,2.0000,68.20,1.84,25.23,1.42,,,,
alami,2,5,3,5,0,1.9000,0,1.9500,0,1.9500,0,1.9500,78.40,1.90,11.68,1.10,,,,
alamin,1,6,3,6,0,2.1500,0,2.3000,0,2.5000,0,2.5000,4.20,0.72,0.47,0.17,,,,
alang,1,5,2,4,5,1.2000,9,1.0000,9,1.0000,9,1.0000,2.00,0.48,59.35,1.78,802.1143,0.7955,460.5814,0.9773
alas,1,4,2,4,8,1.3500,9,1.3000,9,1.3000,9,1.3000,0.00,0.00,0.93,0.29,,,,
alasan,2,6,3,6,4,1.7500,4,1.7500,4,1.7500,4,1.7500,111.40,2.05,138.32,2.14,,,,
alat,1,4,2,4,7,1.5000,11,1.3500,11,1.3500,11,1.3500,235.40,2.37,62.62,1.80,,,,
alatan,2,6,3,6,2,1.9000,2,1.9000,2,1.9000,2,1.9000,0.80,0.26,5.14,0.79,,,,
alem,1,4,2,4,2,1.8500,2,1.9000,2,1.9000,2,1.9000,0.00,0.00,0.47,0.17,,,,
alih,1,4,2,4,4,1.8000,4,1.8000,6,1.7000,6,1.7000,90.60,1.96,111.21,2.05,607.4762,0.9545,443.5476,0.9545
alik,1,4,2,4,3,1.7500,4,1.7000,4,1.7000,4,1.7000,2.20,0.51,4.21,0.72,,,,
alim,1,4,2,4,4,1.7000,4,1.7000,4,1.7000,4,1.7000,22.00,1.36,2.34,0.52,,,,
aliran,2,6,3,6,0,1.9500,0,2.0000,0,2.1000,0,2.1000,81.80,1.92,90.19,1.96,,,,
almari,1,6,3,6,0,2.7000,0,2.8500,0,2.8500,0,2.8500,10.80,1.07,0.93,0.29,,,,
alpa,1,4,2,4,0,1.9000,0,1.9500,0,1.9500,0,2.4000,4.80,0.76,9.35,1.01,,,,
alu,1,3,2,3,6,1.4000,6,1.4000,6,1.4000,6,1.4000,0.60,0.20,2.80,0.58,,,,
alun,1,4,2,4,3,1.8000,3,1.8000,0,1.9500,0,1.9500,0.40,0.15,2.80,0.58,,,,
alunan,2,6,3,6,0,2.0000,0,2.0000,0,2.1000,0,2.1000,9.60,1.03,13.55,1.16,,,,
am,1,2,1,2,0,1.8000,0,1.7500,0,1.7500,0,1.7500,0.00,0.00,30.84,1.50,,,,
amal,1,4,2,4,9,1.3000,9,1.3500,9,1.3500,9,1.3500,203.40,2.31,52.34,1.73,590.5814,0.9773,468.7955,1.0000
amalan,2,6,3,6,3,1.7000,3,1.7500,3,1.7500,3,1.7500,251.60,2.40,54.21,1.74,,,,
amali,1,5,3,5,0,1.9000,0,1.9500,0,1.9500,0,1.9500,16.00,1.23,2.34,0.52,,,,
amalkan,2,7,3,7,0,2.4500,0,2.7000,0,2.7000,0,2.7000,17.80,1.27,1.40,0.38,,,,
amanah,1,6,3,6,2,2.2500,2,2.2000,2,2.2000,2,2.2000,111.20,2.05,171.50,2.24,570.5909,1.0000,495.7500,1.0000
amanat,1,6,3,6,1,2.4500,1,2.4500,1,2.4500,1,2.4500,14.40,1.19,3.27,0.63,,,,
amar,1,4,2,4,7,1.4000,7,1.4000,7,1.4000,7,1.4000,2.40,0.53,24.77,1.41,577.4286,0.1591,465.9545,1.0000
amarah,1,6,3,6,2,1.8500,2,1.8500,2,1.8500,2,1.8500,2.20,0.51,3.74,0.68,,,,
amaran,1,6,3,6,3,1.7500,3,1.7500,3,1.7500,3,1.7500,88.20,1.95,57.94,1.77,,,,
amat,1,4,2,4,7,1.5000,10,1.3500,10,1.3500,10,1.3500,867.20,2.94,301.87,2.48,,,,
amaun,1,5,2,4,1,1.9500,0,2.5000,0,2.5000,0,2.5000,0.00,0.00,5.61,0.82,,,,
ambak,1,5,2,5,1,1.8500,2,1.8000,2,1.8000,2,1.8000,0.00,0.00,25.70,1.43,475.7500,0.0909,482.9286,0.9545
ambang,1,6,2,5,4,1.5500,5,1.5000,5,1.5000,5,1.5000,18.80,1.30,27.10,1.45,,,,
ambil,1,5,2,5,0,2.1000,1,2.2500,1,2.3500,1,2.3500,171.80,2.24,49.53,1.70,,,,
ambing,1,6,2,5,1,1.9000,2,1.8500,2,1.8500,2,1.8500,0.40,0.15,1.87,0.46,,,,
amil,1,4,2,4,5,1.6000,5,1.6500,2,1.9000,2,1.9000,3.20,0.62,0.47,0.17,,,,
amin,1,4,2,4,2,1.6500,3,1.7000,1,1.9500,1,1.9500,60.20,1.79,61.68,1.80,,,,
amit,1,4,2,4,4,1.7000,4,1.7000,2,1.8000,2,1.8000,0.20,0.08,0.47,0.17,,,,
ampang,1,6,2,5,1,1.9500,1,1.9500,1,1.9500,1,1.9500,2.60,0.56,17.76,1.27,,,,
ampu,1,4,2,4,0,1.8000,0,1.8000,0,1.9000,0,1.9000,0.60,0.20,1.40,0.38,,,,
ampuh,1,5,2,5,1,1.9500,1,1.9000,1,1.9500,1,1.9500,15.00,1.20,5.61,0.82,644.4375,0.7273,471.9545,1.0000
ampun,1,5,2,5,2,1.8500,1,1.9000,1,1.9500,1,1.9500,6.00,0.85,2.80,0.58,,,,
amuk,1,4,2,4,1,1.9500,1,1.9500,1,1.9500,1,1.9500,1.60,0.41,17.76,1.27,,,,
anai,1,4,2,3,5,1.6500,5,1.7000,5,1.7000,5,1.7000,0.00,0.00,1.87,0.46,,,,
anak,1,4,2,4,7,1.5000,7,1.5500,7,1.5500,7,1.5500,"2,318.60",3.37,893.46,2.95,,,,
anak-beranak,2,12,5,11,0,6.6000,0,5.9000,0,5.9000,0,5.9000,3.60,0.66,0.47,0.17,,,,
anang,1,5,2,4,5,1.5500,6,1.5500,6,1.5500,6,1.5500,5.00,0.78,5.61,0.82,,,,
anasir,1,6,3,6,0,2.6500,0,2.8000,0,2.9000,0,2.9000,3.20,0.62,0.93,0.29,,,,
ancam,1,5,2,5,0,2.0000,0,2.0000,0,2.0000,0,2.0000,2.00,0.48,0.93,0.29,,,,
ancaman,2,7,3,7,1,2.5500,1,2.7000,1,2.7000,1,2.7000,151.40,2.18,43.93,1.65,,,,
anda,1,4,2,4,0,1.5000,1,1.5000,1,1.5000,1,1.8000,"2,890.60",3.46,507.48,2.71,,,,
andai,1,5,2,4,1,1.6500,1,1.7500,1,1.7500,1,1.7500,25.80,1.43,81.31,1.92,602.6410,0.8864,465.4545,1.0000
andaian,2,7,3,7,1,2.2000,1,2.6500,1,2.6500,1,2.7000,23.80,1.39,18.69,1.29,,,,
andaikan,2,8,3,7,0,2.8000,1,2.8000,1,2.8000,1,2.8000,0.80,0.26,1.40,0.38,,,,
andainya,2,8,3,7,0,3.6500,0,3.7500,0,3.7500,0,3.8500,25.00,1.41,14.95,1.20,,,,
andak,1,5,2,5,1,1.8000,0,1.9000,0,1.9000,0,1.9000,1.00,0.30,0.47,0.17,,,,
andaman,2,7,3,7,2,2.2500,1,2.3000,1,2.3000,1,2.3500,6.80,0.89,2.34,0.52,,,,
anding,1,6,2,5,1,1.8000,1,1.8000,1,1.8000,1,1.8000,0.00,0.00,2.80,0.58,,,,
aneh,1,4,2,4,0,2.0000,0,2.0000,2,1.9000,2,1.9000,25.00,1.41,20.09,1.32,573.2927,0.9318,454.3095,0.9545
angan,1,5,2,4,2,1.8500,6,1.6500,6,1.6500,6,1.6500,1.00,0.30,7.01,0.90,707.7931,0.6591,498.9762,0.9545
angap,1,5,2,4,1,1.9000,4,1.7500,4,1.7500,4,1.7500,0.00,0.00,1.87,0.46,,,,
angga,1,5,2,4,2,1.6500,2,1.6000,2,1.6000,1,1.8500,0.40,0.15,0.47,0.17,,,,
anggap,1,6,2,5,1,1.8500,1,1.8500,1,1.8500,1,1.8500,44.00,1.65,49.07,1.70,580.8864,1.0000,483.4545,1.0000
anggapan,2,8,3,7,1,2.5500,1,2.5000,1,2.5000,1,2.5000,12.80,1.14,5.14,0.79,,,,
anggar,1,6,2,5,2,1.7000,2,1.6500,2,1.6500,2,1.6500,0.60,0.20,2.34,0.52,677.3846,0.8864,466.3721,0.9773
anggaran,2,8,3,7,1,2.6500,1,2.4500,1,2.4500,1,2.5000,17.00,1.26,14.95,1.20,,,,
anggerik,1,8,3,7,0,3.5500,0,3.5500,0,3.6500,0,3.6500,7.40,0.92,0.47,0.17,,,,
anggota,1,7,3,6,0,2.9500,0,2.9500,0,2.7500,0,2.8500,"1,069.60",3.03,228.04,2.36,,,,
anggu,1,5,2,4,1,1.8000,1,1.8000,1,1.9500,1,1.9500,0.00,0.00,2.80,0.58,,,,
angguk,1,6,2,5,2,2.2500,2,1.8500,2,1.9000,2,1.9000,0.00,0.00,0.47,0.17,,,,
anggun,1,6,2,5,2,1.8500,2,1.8500,2,1.9000,2,1.9000,23.40,1.39,27.57,1.46,,,,
anggur,1,6,2,5,3,1.9500,3,1.8000,3,1.8500,3,1.8500,6.00,0.85,0.93,0.29,,,,
angin,1,5,2,4,2,1.9000,3,1.8500,2,1.9000,2,1.9000,145.60,2.17,74.30,1.88,530.2683,0.9318,471.2558,0.9773
angka,1,5,2,4,1,1.7000,1,1.7000,1,1.7000,0,1.8000,53.40,1.74,100.47,2.01,640.0000,0.9773,476.9318,1.0000
angkara,1,7,3,6,1,2.5000,1,2.5000,1,2.5000,1,2.7000,11.80,1.11,21.96,1.36,,,,
angkasa,1,7,3,6,1,2.7000,1,2.7000,1,2.7000,1,2.7500,41.20,1.63,14.95,1.20,,,,
angkat,1,6,2,5,1,1.7500,1,1.7000,1,1.7000,1,1.7500,95.60,1.98,71.03,1.86,,,,
angkatan,2,8,3,7,1,2.0500,1,1.9500,1,1.9500,1,2.1000,107.20,2.03,55.14,1.75,,,,
angkuh,1,6,2,5,1,2.1500,1,1.9500,0,2.3500,0,2.4000,5.80,0.83,7.48,0.93,,,,
angkut,1,6,2,5,2,1.9500,2,1.9000,1,2.0500,1,2.0500,1.40,0.38,0.93,0.29,601.8500,0.9091,459.3721,0.9773
angkutan,2,8,3,7,1,2.6500,1,2.6000,1,2.6500,1,2.7000,0.20,0.08,0.47,0.17,,,,
aniaya,1,6,4,7,0,2.8500,0,3.1500,0,3.1500,0,3.3000,3.20,0.62,0.47,0.17,,,,
anjakan,2,7,3,7,0,2.2000,0,2.3000,0,2.3000,0,2.3000,7.20,0.91,3.74,0.68,,,,
anjal,1,5,2,5,0,1.9500,1,1.9000,1,1.9000,1,1.9000,0.80,0.26,18.69,1.29,,,,
anjang,1,6,2,5,2,1.8000,3,1.8000,3,1.8000,3,1.8000,0.40,0.15,2.80,0.58,,,,
anjing,1,6,2,5,3,1.9500,3,1.8500,3,1.8500,3,1.8500,31.20,1.51,4.67,0.75,,,,
anju,1,4,2,4,0,1.8500,0,1.8500,0,1.9500,0,1.9500,0.00,0.00,1.40,0.38,,,,
anjung,1,6,2,5,2,1.8000,3,1.7000,3,1.7500,3,1.7500,6.00,0.85,13.55,1.16,761.5758,0.7500,473.8140,0.9773
anjur,1,5,2,5,2,1.8500,3,1.8000,3,1.8500,3,1.8500,20.40,1.33,14.02,1.18,688.9302,0.9773,494.2326,0.9773
anjuran,2,7,3,7,2,2.3500,2,2.4000,2,2.4500,2,2.4000,269.80,2.43,87.85,1.95,,,,
ansur,1,5,2,5,2,1.9500,2,2.1500,2,2.2000,2,2.2000,26.20,1.43,11.68,1.10,,,,
ansuran,2,7,3,7,1,2.6500,1,2.7500,1,2.7500,1,2.7500,32.40,1.52,5.14,0.79,,,,
antah,1,5,2,5,2,1.8500,2,1.8500,2,1.8500,2,1.8500,0.60,0.20,9.81,1.03,,,,
antar,1,5,2,5,1,1.8500,1,1.9000,1,1.9000,1,1.9000,0.00,0.00,0.47,0.17,,,,
antara,1,6,3,6,0,2.2500,0,2.4500,0,2.4500,0,2.6500,"2,664.60",3.43,"1,310.75",3.12,,,,
antarabangsa,2,12,5,11,0,6.2000,0,5.9000,0,5.9000,0,6.3000,589.80,2.77,773.83,2.89,,,,
anu,1,3,2,3,5,1.6500,6,1.6500,6,1.6500,6,1.6500,4.40,0.73,3.74,0.68,,,,
anugerah,1,8,4,8,0,3.8500,0,4.0000,0,4.0000,0,4.0000,568.00,2.76,501.40,2.70,588.7209,0.9773,496.5227,1.0000
anum,1,4,2,4,1,1.9000,1,1.9000,0,1.9500,0,1.9500,1.40,0.38,7.48,0.93,,,,
anutan,2,6,3,6,0,2.0000,0,2.1000,0,2.3500,0,2.3500,3.20,0.62,1.40,0.38,,,,
apa,1,3,2,3,6,1.5000,6,1.5000,6,1.5000,4,1.6500,"1,424.00",3.15,"1,241.59",3.09,,,,
api,1,3,2,3,5,1.5500,5,1.5500,5,1.6000,5,1.6000,203.60,2.31,48.60,1.70,,,,
apit,1,4,2,4,1,1.8500,1,1.8500,1,1.9000,1,1.9000,0.00,0.00,14.95,1.20,,,,
apung,1,5,2,4,2,1.8000,2,1.8000,1,1.7500,1,1.7500,0.00,0.00,5.14,0.79,,,,
ara,1,3,2,3,7,1.0000,9,1.0000,9,1.0000,7,1.1500,1.60,0.41,0.47,0.17,,,,
arah,1,4,2,4,10,1.1500,9,1.2500,9,1.2500,9,1.3000,241.60,2.38,243.46,2.39,566.1136,1.0000,449.1628,0.9773
arahan,2,6,3,6,1,1.9000,1,1.8500,1,1.8500,1,1.8500,89.40,1.96,171.96,2.24,,,,
arai,1,4,2,3,9,1.4000,7,1.6500,7,1.6500,7,1.6500,2.00,0.48,4.21,0.72,,,,
arak,1,4,2,4,9,1.3000,8,1.3000,8,1.3000,8,1.3500,19.20,1.31,2.80,0.58,,,,
aral,1,4,2,4,11,1.3500,10,1.4000,10,1.4000,10,1.4500,1.60,0.41,7.94,0.95,,,,
arang,1,5,2,4,5,1.4000,9,1.1500,9,1.1500,9,1.2000,14.80,1.20,8.88,0.99,649.7805,0.9318,463.8605,0.9773
aras,1,4,2,4,12,1.1500,11,1.2000,11,1.2000,11,1.2500,20.60,1.33,33.64,1.54,,,,
arau,1,4,2,3,5,1.6500,3,1.8000,3,1.8000,3,1.8000,0.40,0.15,1.40,0.38,,,,
arca,1,4,2,4,1,1.9000,0,2.0000,0,2.0000,0,2.3000,12.60,1.13,7.48,0.93,,,,
ari,1,3,2,3,6,1.0000,8,1.0000,8,1.0000,8,1.0000,20.00,1.32,8.41,0.97,,,,
aria,1,4,3,5,2,1.7500,0,1.9500,0,1.9500,0,2.3500,0.00,0.00,0.93,0.29,,,,
aris,1,4,2,4,3,1.6000,2,1.6500,2,1.7000,2,1.7000,17.60,1.27,27.10,1.45,,,,
arjuna,1,6,3,6,0,2.8500,0,3.0000,0,3.1500,0,3.6500,0.60,0.20,0.47,0.17,,,,
arnab,1,5,2,5,0,2.1500,0,2.6000,0,2.6000,0,2.7000,4.20,0.72,1.40,0.38,,,,
arun,1,4,2,4,4,1.7500,4,1.7500,4,1.7500,4,1.7500,2.20,0.51,1.40,0.38,,,,
arus,1,4,2,4,5,1.7000,5,1.7000,5,1.7000,5,1.7000,59.80,1.78,34.11,1.55,616.3571,0.9545,482.2791,0.9773
arwah,1,5,2,5,0,1.9500,0,2.0000,0,2.0000,0,2.0000,38.40,1.60,35.98,1.57,,,,
asa,1,3,2,3,7,1.0000,8,1.0000,8,1.0000,6,1.4000,51.60,1.72,21.03,1.34,708.1739,0.5227,471.5909,1.0000
asad,1,4,2,4,9,1.4000,12,1.2500,12,1.2500,12,1.3000,0.20,0.08,0.47,0.17,,,,
asah,1,4,2,4,14,1.1000,13,1.1500,13,1.1500,13,1.2000,3.60,0.66,0.93,0.29,,,,
asai,1,4,2,3,12,1.1000,6,1.5500,6,1.5500,6,1.5500,0.00,0.00,0.93,0.29,,,,
asakan,2,6,3,6,3,1.7500,3,1.7500,3,1.7500,3,1.7500,4.60,0.75,65.42,1.82,,,,
asal,1,4,2,4,13,1.2000,12,1.2500,12,1.2500,12,1.3000,168.00,2.23,84.58,1.93,,,,
asal-usul,2,9,4,8,0,4.9500,0,4.2000,0,4.3500,0,4.3500,8.40,0.97,2.80,0.58,,,,
asalan,2,6,3,6,3,1.8500,3,1.8500,3,1.8500,3,1.8500,0.00,0.00,0.47,0.17,,,,
asam,1,4,2,4,11,1.3500,10,1.4000,10,1.4000,10,1.4500,22.20,1.37,7.01,0.90,,,,
asap,1,4,2,4,9,1.4500,9,1.4500,9,1.4500,9,1.5000,31.80,1.52,1.87,0.46,,,,
asar,1,4,2,4,12,1.0500,11,1.1000,11,1.1000,11,1.1500,6.40,0.87,1.40,0.38,,,,
asas,1,4,2,4,11,1.3500,10,1.4000,10,1.4000,10,1.4500,245.60,2.39,159.35,2.21,587.1163,0.9773,457.3810,0.9545
asasi,2,5,3,5,0,1.8500,0,1.9000,0,1.9000,0,1.9000,31.60,1.51,3.74,0.68,,,,
asfar,1,5,2,5,1,1.9000,1,1.9000,1,1.9000,1,1.9000,0.00,0.00,0.47,0.17,,,,
asi,1,3,2,3,6,1.4000,7,1.4000,7,1.4500,7,1.4500,1.00,0.30,0.47,0.17,,,,
asing,1,5,2,4,0,1.9000,0,1.8500,0,1.9000,0,1.9000,434.00,2.64,258.88,2.41,,,,
askar,1,5,2,5,1,1.8500,1,1.8500,1,1.8500,1,1.8500,77.40,1.89,41.12,1.62,,,,
asli,1,4,2,4,2,1.8500,1,1.9000,1,1.9000,1,1.9000,79.60,1.91,55.61,1.75,,,,
asmara,1,6,3,6,0,2.3000,0,2.5000,0,2.5000,0,2.7500,10.60,1.06,23.83,1.40,,,,
asrama,1,6,3,6,0,2.5500,0,2.6000,0,2.6000,0,2.7000,16.00,1.23,14.02,1.18,,,,
astana,1,6,3,6,1,2.7000,1,2.7000,1,2.7000,0,2.8500,1.40,0.38,11.21,1.09,,,,
