Word,Number of morphemes,Number of Letters,Number of Syllables,Number of Phonemes,Orthographic N,OLD20,PN_Std,PLD20_Std,PN_Singapore,PLD20_Singapore,PN_NonStd,PLD_NonStd,freq_singapore/million,lg_freq_singapore,freq_malaysia/million,lg_freq_malaysia,LDT_RT,LDT_ACC,NMG_RT,NMG_ACC
mas,1,3,1,3,7,1.5500,8,1.4500,8,1.4500,7,1.4500,147.00,2.17,315.89,2.50,,,,
masa,1,4,2,4,10,1.2500,11,1.2000,11,1.2000,10,1.3500,"2,085.20",3.32,"1,527.10",3.18,,,,
masai,1,5,2,4,6,1.6000,5,1.6500,5,1.6500,5,1.6500,2.60,0.56,0.47,0.17,,,,
masak,1,5,2,5,8,1.5500,7,1.6000,7,1.6000,7,1.6500,186.20,2.27,16.36,1.24,530.4773,1.0000,470.7143,0.9545
masakan,2,7,3,7,0,2.0500,0,2.0000,0,2.0000,0,2.0500,144.20,2.16,26.17,1.43,,,,
masalah,1,7,3,7,2,2.5500,2,2.5000,2,2.5000,2,2.5000,"1,209.80",3.08,682.24,2.83,,,,
masam,1,5,2,5,5,1.6500,4,1.7000,4,1.7000,4,1.7500,12.60,1.13,9.35,1.01,614.8372,0.9773,500.0000,1.0000
masih,1,5,2,5,3,1.8500,4,1.8000,4,1.8000,4,1.8000,"1,595.00",3.20,"1,569.63",3.20,,,,
masin,1,5,2,5,2,1.8000,4,1.8000,4,1.8000,4,1.8000,7.60,0.93,1.87,0.46,,,,
masing,1,6,2,5,1,1.8500,3,1.8000,3,1.8000,3,1.8000,3.20,0.62,533.18,2.73,,,,
masjid,1,6,2,6,0,2.7500,0,2.8500,0,2.8500,0,2.8500,"1,368.60",3.14,24.30,1.40,,,,
masuk,1,5,2,5,2,1.9000,2,1.9000,2,1.9000,2,1.9000,410.60,2.61,233.64,2.37,533.7209,0.9773,486.5909,1.0000
masyarakat,1,10,4,9,0,3.9000,0,3.8000,0,3.8000,0,3.8500,"2,228.40",3.35,365.42,2.56,,,,
masyhur,1,7,2,6,0,3.6500,0,2.8000,0,2.8500,0,2.8500,5.20,0.79,4.21,0.72,,,,
mata,1,4,2,4,12,1.4000,12,1.3500,12,1.3500,11,1.4500,904.00,2.96,"1,848.13",3.27,,,,
matahari,2,8,4,8,0,3.5000,0,3.5500,0,3.5500,0,3.9000,54.00,1.74,13.55,1.16,,,,
matang,1,6,2,5,5,1.7500,5,1.7000,5,1.7000,5,1.7500,71.40,1.86,72.43,1.87,,,,
mati,1,4,2,4,9,1.5500,9,1.5500,9,1.5500,9,1.5500,217.40,2.34,62.62,1.80,,,,
matlamat,1,8,3,8,0,2.9500,0,2.9500,0,2.9500,0,2.9500,285.40,2.46,127.10,2.11,,,,
maujud,1,6,2,5,1,2.5500,1,2.5500,0,2.8500,0,2.9000,0.60,0.20,0.93,0.29,,,,
maulai,1,6,2,4,0,1.9000,1,1.9500,1,1.9500,1,1.9500,0.00,0.00,3.27,0.63,,,,
maulana,1,7,3,6,0,2.7500,0,2.7000,0,2.7000,0,2.9500,8.00,0.95,1.40,0.38,,,,
maulud,1,6,2,5,1,2.5000,2,2.3000,1,2.3000,1,2.3000,19.00,1.30,4.21,0.72,,,,
maung,1,5,1,3,3,1.8500,1,1.9500,1,1.9500,1,1.9500,1.60,0.41,1.40,0.38,,,,
maura,1,5,2,4,0,1.9500,1,1.9500,1,1.9500,0,2.1000,0.00,0.00,0.47,0.17,,,,
maut,1,4,2,5,5,1.7500,4,1.8000,5,1.7500,5,1.7500,58.60,1.78,24.77,1.41,,,,
mawar,1,5,2,5,3,1.8500,3,1.8500,3,1.8500,3,1.8500,16.40,1.24,12.15,1.12,,,,
maya,1,4,2,4,13,1.3000,13,1.2500,13,1.2500,13,1.3500,38.00,1.59,61.21,1.79,,,,
mayang,1,6,2,5,11,1.4000,13,1.2500,13,1.2500,13,1.3000,8.60,0.98,2.80,0.58,,,,
mayat,1,5,2,5,1,1.8500,2,1.8000,2,1.8000,2,1.8500,70.20,1.85,6.54,0.88,,,,
medan,1,5,2,5,1,1.9500,1,1.9500,1,1.9500,1,1.9500,44.60,1.66,86.92,1.94,,,,
mega,1,4,2,4,3,1.7000,2,1.8500,2,1.8500,0,2.0000,25.00,1.41,36.45,1.57,,,,
megah,1,5,2,5,6,1.6500,3,1.8500,3,1.8500,3,1.8500,15.40,1.21,14.49,1.19,,,,
megan,1,5,2,5,4,1.7500,1,1.9000,1,1.9000,1,1.9000,0.20,0.08,3.74,0.68,,,,
megat,1,5,2,5,2,1.8500,1,1.9500,1,1.9500,1,1.9500,2.80,0.58,18.69,1.29,,,,
meja,1,4,2,4,2,1.8500,1,1.9000,1,1.9000,0,1.9500,143.40,2.16,19.16,1.30,,,,
mekar,1,5,2,5,1,1.9500,1,1.9500,1,1.9500,1,1.9500,20.20,1.33,2.80,0.58,650.7632,0.8636,524.2558,0.9773
melabuh,2,7,3,7,1,2.2000,1,1.9500,1,2.0500,1,2.0500,0.40,0.15,0.93,0.29,,,,
melabuhkan,2,10,4,10,1,2.5500,1,2.4500,1,2.6500,1,2.6500,3.00,0.60,7.01,0.90,685.0244,0.9318,532.0750,0.9091
melabur,2,7,3,7,4,2.1000,4,1.8500,4,1.9500,4,1.9500,103.40,2.02,78.97,1.90,,,,
melaburkan,2,10,4,10,3,2.3000,3,2.1500,2,2.3500,2,2.3500,26.40,1.44,5.61,0.82,685.7027,0.8409,544.2381,0.9545
melafazkan,2,10,4,10,0,2.8500,0,2.7500,0,2.7500,0,2.7500,6.60,0.88,1.87,0.46,,,,
melaga-lagakan,2,14,6,13,0,5.6000,0,4.8000,0,4.8000,0,4.6000,0.60,0.20,0.93,0.29,,,,
melahirkan,2,10,4,10,1,2.4500,1,2.4500,1,2.5000,1,2.5000,248.60,2.40,119.16,2.08,,,,
melainkan,2,9,4,10,1,2.3000,1,2.3000,1,2.3500,1,2.3500,28.40,1.47,27.57,1.46,,,,
melakar,2,7,3,7,2,1.9000,2,1.9000,2,1.9000,2,1.9000,38.80,1.60,55.14,1.75,,,,
melakarkan,2,10,4,10,1,1.9500,1,1.9500,1,1.9500,1,1.9500,40.00,1.61,4.21,0.72,744.1905,0.9545,570.6341,0.9318
melakonkan,2,10,4,10,0,2.7500,0,2.7500,0,2.5500,0,2.5500,8.80,0.99,9.81,1.03,,,,
melaksanakan,2,12,5,12,0,3.5000,0,3.8000,0,3.8000,0,3.8000,148.00,2.17,172.90,2.24,718.6047,0.9773,526.0244,0.9318
melakukan,2,9,4,9,1,2.2000,1,2.0500,1,2.1500,1,2.1500,469.80,2.67,496.73,2.70,665.4390,0.9318,573.5000,0.9545
melalak,2,7,3,7,3,1.8500,3,1.8500,3,1.8500,3,1.8500,1.60,0.41,0.47,0.17,,,,
melalap,2,7,3,7,1,2.1500,1,1.9500,1,1.9500,1,1.9500,0.00,0.00,0.93,0.29,,,,
melalui,3,7,4,8,1,2.3000,0,2.8000,0,2.8500,0,2.8500,720.80,2.86,371.50,2.57,,,,
melalukan,2,9,4,9,2,2.3500,2,2.2000,2,2.3500,2,2.3500,0.60,0.20,0.47,0.17,,,,
melalut,2,7,3,7,1,2.1000,1,1.9500,1,2.0500,1,2.0500,0.00,0.00,0.47,0.17,,,,
melamar,2,7,3,7,1,1.9500,1,1.9500,1,1.9500,1,1.9500,5.80,0.83,6.07,0.85,,,,
melambai,2,8,3,7,0,2.5500,0,2.7000,0,2.7000,0,2.7000,1.60,0.41,2.80,0.58,,,,
melambakkan,2,11,4,11,1,2.6000,2,2.5000,2,2.5000,2,2.5000,0.80,0.26,0.47,0.17,,,,
melambang,2,9,3,8,1,2.4000,2,2.0500,2,2.0500,2,2.1000,0.20,0.08,0.47,0.17,,,,
melambangkan,2,12,4,11,1,2.6000,3,2.2500,3,2.2500,3,2.2500,35.20,1.56,15.42,1.22,731.8140,0.9773,576.1905,0.9545
melambatkan,2,11,4,11,2,2.5000,3,2.4000,3,2.4000,3,2.4000,10.60,1.06,2.80,0.58,745.0714,0.9545,570.2683,0.9318
melambung,2,9,3,8,1,2.6500,1,2.3000,1,2.3000,1,2.3000,16.60,1.25,11.68,1.10,,,,
melambungkan,2,12,4,11,1,2.9500,1,2.5000,1,2.7000,1,2.7000,3.00,0.60,3.74,0.68,,,,
melampau,2,8,3,7,1,2.3000,1,2.7000,1,2.7000,1,2.7000,14.60,1.19,7.94,0.95,,,,
melampaui,2,9,4,9,0,2.7500,0,3.6500,0,3.6500,0,3.6500,7.60,0.93,6.07,0.85,,,,
melampirkan,2,11,4,11,0,2.8000,0,2.8000,0,2.8000,0,2.8000,0.20,0.08,0.47,0.17,,,,
melancar,2,8,3,8,2,2.3500,1,2.2500,1,2.2500,1,2.3000,1.20,0.34,1.87,0.46,,,,
melancarkan,2,11,4,11,1,2.5500,0,2.7000,0,2.7000,0,2.7000,186.80,2.27,71.03,1.86,607.0455,1.0000,518.0000,1.0000
melancong,2,9,3,8,2,2.7000,2,2.7000,2,2.5000,2,2.5000,47.40,1.68,3.74,0.68,,,,
melanda,2,7,3,7,0,2.0500,0,2.2500,0,2.2500,0,2.5000,54.80,1.75,51.40,1.72,,,,
melanggan,2,9,3,8,2,2.4500,2,2.3000,2,2.3000,2,2.3000,3.40,0.64,13.55,1.16,,,,
melanggar,2,9,3,8,1,2.3500,2,2.1000,2,2.1000,2,2.1000,69.20,1.85,27.57,1.46,,,,
melanggari,2,10,4,9,0,2.7000,0,2.6500,0,2.6500,0,2.6500,0.40,0.15,0.47,0.17,,,,
melangit,2,8,3,7,1,2.7000,1,2.4500,1,2.4500,1,2.4500,0.60,0.20,2.80,0.58,,,,
melangkah,2,9,3,8,0,2.2000,0,2.1500,0,2.1500,0,2.2500,108.80,2.04,253.74,2.41,,,,
melangkahi,2,10,4,9,1,2.6500,0,2.7000,0,2.7000,0,2.7000,0.40,0.15,0.47,0.17,,,,
melangkahkan,2,12,4,11,0,3.0000,0,2.8500,0,2.8500,0,2.8500,2.80,0.58,0.93,0.29,,,,
melangkaui,2,10,4,9,1,2.6500,0,3.3500,0,3.3500,0,3.3500,1.00,0.30,3.74,0.68,,,,
melangsaikan,2,12,4,10,0,3.4500,0,2.9500,0,2.9500,0,2.9500,5.00,0.78,3.27,0.63,,,,
melangsungkan,2,13,4,11,0,3.6000,0,2.7500,0,2.8000,0,2.8000,6.00,0.85,2.34,0.52,,,,
melangut,2,8,3,7,1,2.6000,2,2.1500,2,2.2000,2,2.2000,0.00,0.00,1.40,0.38,,,,
melanjutkan,2,11,4,11,0,2.9500,0,2.9000,0,2.9500,0,2.9500,88.00,1.95,33.18,1.53,622.0465,0.9773,543.7561,0.9318
melantik,2,8,3,8,0,2.6000,0,2.5500,0,2.7500,0,2.7500,35.40,1.56,39.72,1.61,,,,
melantun,2,8,3,8,0,2.6500,0,2.6500,0,2.5500,0,2.5500,5.40,0.81,18.22,1.28,,,,
melantunkan,2,11,4,11,0,2.9000,0,2.9000,0,3.1500,0,3.1500,0.20,0.08,0.47,0.17,,,,
melapangkan,2,11,4,10,1,2.5500,1,2.0500,1,2.0500,1,2.1000,1.60,0.41,1.40,0.38,,,,
melaporkan,2,10,4,10,0,2.6500,0,2.6000,0,2.3500,0,2.3500,112.00,2.05,35.51,1.56,,,,
melaram,2,7,3,7,0,2.0000,1,1.9500,1,1.9500,1,1.9500,0.80,0.26,1.87,0.46,,,,
melarang,2,8,3,7,1,2.0500,2,1.9000,2,1.9000,2,1.9000,32.60,1.53,6.54,0.88,,,,
melarikan,2,9,4,9,0,2.3500,0,2.3000,0,2.5000,0,2.5000,49.20,1.70,7.48,0.93,611.2727,1.0000,517.8333,0.9545
melariskan,2,10,4,10,0,2.7000,0,2.6500,0,2.7000,0,2.7000,4.00,0.70,7.48,0.93,636.0465,0.9773,535.0698,0.9773
melata,1,6,3,6,4,1.7500,4,1.7500,4,1.7500,4,1.8000,1.80,0.45,0.47,0.17,,,,
melatah,2,7,3,7,3,1.8000,3,1.8000,3,1.8000,3,1.8500,3.60,0.66,4.67,0.75,,,,
melatari,2,8,4,8,1,2.3500,1,2.3000,1,2.3000,1,2.3500,0.60,0.20,1.87,0.46,,,,
melati,1,6,3,6,1,1.9000,1,1.9000,1,1.9500,1,1.9500,6.00,0.85,0.93,0.29,,,,
melatih,2,7,3,7,2,2.1000,2,1.9500,2,1.9000,2,1.9000,63.80,1.81,38.79,1.60,,,,
melaung,2,7,3,7,1,1.9500,1,1.9500,1,1.9500,1,1.9500,0.20,0.08,0.47,0.17,,,,
melaungkan,2,10,4,10,0,2.6500,0,2.4500,0,2.5000,0,2.5000,9.80,1.03,11.68,1.10,,,,
melawak,2,7,3,7,5,1.7500,5,1.7500,5,1.7500,5,1.7500,1.80,0.45,0.47,0.17,,,,
